commentView,commentScore,commentTitle,commentName
二爷很帅，48集太多了，可以压缩成30集左右，这样就没有太多的没必要的情景，最好是希望有末删版，不过这样还是很好看...............................................................................................................................................................................,10,很好看，,爱吃甜品的单于雨晨
烂片 烂片 大烂片，打着盗墓的名号，演俗套的宫斗戏，太恶心人了，导演你没那精钢钻，就不要拦着瓷器活啥，拍的这啥烂片啊，老太太的裹脚布似的，又臭、又长，光下个墓就花了两个星期，结果进去了，屁都没看到，那还看屁啊，浪费我买VIP的钱，导演、编剧、制片人你们用着烂东西挣我们的钱，你们良心何在，诅咒你们今年就倾家荡产，妻离子散。,2,大烂片,839709812
我觉得很无聊，只是为了丽颖才来看的，为了丽颖坚持下去，( •̀ ω •́ )y耶，是为了丽颖来看的为丽颖点赞。只是更新好慢，我都等得迫不及待了。最爱陈伟霆，张艺兴，赵丽颖。。。。。赵丽颖跟陈伟霆绝配呐。。演技 布景真尼玛烂 和原著出入6太大 拿着2毛钱的特效来骗钱 我只能给制片组说呵呵了编剧和导演用心了吗，陈皮还没有独立门户，怎么就有九门提督了，那现在行四的是谁啊 ？编剧和导演用心了吗，陈皮还没有独立门户，怎么就有九门提督了，那现在行四的是谁啊 ？虽然还没有接着继续往下 看，但如果编剧和导演还是这种态度的话那三叔的作品真的就这么的毁了，三叔不是去了片场的吗》怎么这种错误都犯。希望乘后续的还没有波的情况下，你们再审审吧,10,爱丽颖，讨厌导演,仰头﹌是你宠溺的目光°_qq1171
好一个剪子，剪胳膊干净利索，一滴血都不溅出来。剪完，剪子干净如新~  好剧！神剧！良心剧！！！2333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,2,良心剧,Target壹条
"为何看第一集就没有想再往下看的感觉呢，不知是视频画片太差还是选的人物不喜欢，看不下去。
为何看第一集就没有想再往下看的感觉呢，不知是视频画片太差还是选的人物不喜欢，看不下去。
为何看第一集就没有想再往下看的感觉呢，不知是视频画片太差还是选的人物不喜欢，看不下去。
为何看第一集就没有想再往下看的感觉呢，不知是视频画片太差还是选的人物不喜欢，看不下去。",2,有同感的吗？,方红_qq1989
这次肥常开心，，见到艺兴的演技进步最大了。看他句很久了，他很是个努力的孩子，他努力付出的。他做的，一直是我们的榜样，总之加油。兴迷未来一直都在。再说说老九门，我没有看过原著，但是感觉一开始进入主题太慢了了，演员我都喜欢，这种题材的剧比较少。但是都还不错，盗墓还有老久门都认真看了，三叔喜欢小鲜肉。峰峰，杨洋，艺兴，伟霆，鹿晗。小井。全部都喜欢。冲着点收视不用愁了。看好三叔，看好这种题材的未来，更看好这些努力的奋斗的青年。加油老子会一直关注并支持   惦记着你的好。,10,蝶·屋~阁哪里有有老九门48级？太喜欢陈伟霆，看这个剧也是因为他,请你吗你脑子
这部作品相对而言算是用心之作了，在人物刻画、情节道具等还是下功夫了，演员都很年轻，自然在演绎中少了许老练毒辣之色，在反派的刻画上内心的挣扎少了许多，剧情有些突兀，但是不管怎么说比起同类还是值得点赞的，再说一句，男演员的颜值可以担当，女演员呢？怎么没有什么感觉的，刚开始二爷叫丫头，还以为真的是个丫鬟呢？,8,写个吸引人的标题吧,187****7622_m1348
很好看。。。尹新月棒棒的，丽颖演技又帅有爱，尹新月超可爱的大小姐，好喜欢，好喜欢，丫头也不错，不知道为什么有人说她不好，但是我觉得真的很好的，可惜红颜薄命，张启山二月红演的也不错，只是二月红在丫头死后马上跑去花天酒地这段故事情节有点想吐，思维有点坑，我觉得这个很不适合二月红当时表现，哪怕一夜白了头我也能接受，总的来说故事情节生动形象，环环相扣，虽然我是丽颖粉丝，但这部电视剧说真的还可以，给八分吧，片尾曲很不错，丽颖加油，爱你么么哒,8,真的挺好看的,爱丽颖爱小骨
剧情很赞，不得不说三叔的小说着实很受欢迎，其次演员的演技都开挂了，尤其是wuli伟霆欧巴 ，这颜值这演技都很溜呀    还有赵丽颖也很可爱甜蜜，副官、八爷、陈皮每个人物决角色都很有自己个人风格魅力，很有特色，感觉每个人都是主角，每个环节都不想错过，每个演员都在很努力地阐释着自己的角色  ，还有 丫头好漂亮啊 越看越喜欢  ，,10,剧情、颜值、演技都开挂的老九门,guilan99271
既有温情戏又有盗墓戏两者结合更加有趣生动，不像盗墓笔记单单只有盗墓。而且盗墓戏并不那么恐怖，让那些对恐怖接受无能的人可以看完，其中不用跳过。总而言之，就是非常不错，推荐。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。,10,很好看,夏梦汝南_qq1563
说什么盗墓笔记前传，一点毛关系都没，说功夫没功夫，说盗墓没盗墓，都TM都不知道说什么，一个烂片30集日本人找不到，进个山就说进去盗墓，一个烂片一群SB还说谁帅，看剧要看帅哥还不如看韩剧，要来这看这些SB，一点剧情都没，还打着盗墓笔记前传骗我进来看，跟内地鬼片一个，没一个跟片名有关系，不会编剧别TM编，真掉面，拍出来给人骂，骗这收视率垃圾片,2,烂片,156****1673_m1447
强烈要求给陆建勋减戏   陆建勋算个屁呀打着长官的名号就没完没了嘚吧嘚吧说两集  我咒他不得好死  倾家荡产   本来这戏好好的一有他，整部戏都烂了  讨厌死他了  不止戏演得烂，话还多，这片比寻龙诀还烂  陆建勋简直就是一傻逼而且陆建勋演的戏又臭，又长和裘德考说事就一个星期这个编剧应该是脑残吧如果大家讨厌陆建勋的话记得给我点赞哦,10,讨厌陆建勋,小呆瓜萌萌哒768
这部剧总体还是不错的，但在选角方面呢，我觉得张艺兴演技有待提高，然后其他的都很好，陈伟霆把张启山的高冷又不失温柔演出来了，赵丽颖的演技也是好的没话说，但我要在这吐槽一下，剧里的女演员除了赵丽颖都不怎么有名气啊，导演钱都拿去请三位主角了吗，呃呃呃，还有赵丽颖的发型，不能把她天生的气质给体现出来额，虽然很可爱，但我还是觉得《杉杉来了》里的双尾辫比较好，总之各项都可圈可点！,6,此片各处可圈可点,BCAF519C57350EAD
这情节和角色都像是鬼吹灯之二黄皮子坟，具体的去看看鬼吹灯就明白了这情节和角色都像是鬼吹灯之二黄皮子坟，具体的去看看鬼吹灯就明白了这情节和角色都像是鬼吹灯之二黄皮子坟，具体的去看看鬼吹灯就明白了这情节和角色都像是鬼吹灯之二黄皮子坟，具体的去看看鬼吹灯就明白了这情节和角色都像是鬼吹灯之二黄皮子坟，具体的去看看鬼吹灯就明白了这情节和角色都像是鬼吹灯之二黄皮子坟，具体的去看看鬼吹灯就明白了这情节和角色都像是鬼吹灯之二黄皮子坟，具体的去看看鬼吹灯就明白了这情节和角色都像是鬼吹灯之二黄皮子坟，具体的去看看鬼吹灯就明白了,8,生扒鬼吹灯啊,突然好想你_qq2224
"哈哈哈。。。。。陈伟霆跟张艺兴。。。。辣眼睛
最喜欢陈伟霆跟赵丽颖啦。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。花式秀恩爱。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。花式虐狗。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。",10,好看,133****0766_m1776
爷酷酷哒，对兄弟很好，保家卫国的七尺好男儿。。尹新月，萌萌哒，可爱，对爱情很执着很霸气。。二爷，好有爱，千载难逢的好男子，丫头，好温柔，对二爷对她的爱不矫情不死缠。。八爷，好有搞笑的天赋，看似贪生，实则对兄弟很好，该严肃时就严肃，该奇葩时就奇葩，无忧无虑的。。九爷，聪明睿智，沉着冷静。。陈皮，很傻，很狠，为了爱情所付出值得赞赏，但是他用错了办法，爱一个人不是要得到而是要学会放下，看着ta幸福。。我的评论只是单单对本剧的人物评价，没有对演员的评论，，没有十全十美的剧情和十全十美的演员，你看则看，你自己未必会做得比ta们好，ta们在拍戏时也是很辛苦的,10,好看,woai颖宝520
佛爷酷酷哒，对兄弟很好，保家卫国的七尺好男儿。。尹新月，萌萌哒，可爱，对爱情很执着很霸气。。二爷，好有爱，千载难逢的好男子，丫头，好温柔，对二爷对她的爱不矫情不死缠。。八爷，好有搞笑的天赋，看似贪生，实则对兄弟很好，该严肃时就严肃，该奇葩时就奇葩，无忧无虑的。。九爷，聪明睿智，沉着冷静。。陈皮，很傻，很狠，为了爱情所付出值得赞赏，但是他用错了办法，爱一个人不是要得到而是要学会放下，看着ta幸福。。我的评论只是单单对本剧的人物评价，没有对演员的评论，，没有十全十美的剧情和十全十美的演员，你看则看，你自己未必会做得比ta们好，ta们在拍戏时也是很辛苦的，,10,想个好标题,凉情凉心菇凉最拽
艺兴的演技进步最大了。陪他走了那么久知道他很是个努力的孩子，他付出的。他做的，一直是我们的榜样，总之加油。兴迷未来一直都在。再说说老九门，我没有看过原著，但是感觉一开始太拖拉了，演员我都喜欢，这种题材的剧不多。但是都还不错，盗墓还有老久门都认真看了，三叔喜欢小鲜肉。峰峰，杨洋，艺兴，伟霆，鹿晗。小井。全部都喜欢。冲着点收视不用愁了。看好三叔，看好这种题材的未来，更看好这些努力的奋斗的青年。加油会一直关注支持。,10,二爷我是专程来看你唱戏 的,159****1149_m1711
看着看着又插电视剧，两分。看着看着又插电视剧，两分。看着看着又插电视剧，两分。看着看着又插电视剧，两分。看着看着又插电视剧，两分。看着看着又插电视剧，两分。看着看着又插电视剧，两分。看着看着又插电视剧，两分。看着看着又插电视剧，两分。看着看着又插电视剧，两分。看着看着又插电视剧，两分。看着看着又插电视剧，两分。,2,写个吸引人的标题吧,爱游泳的东里阳云
很不错，为陈伟霆而来，张大佛爷简直太帅！其他演员也都很不错，齐铁嘴是这部剧的活宝，二月红是个痴情的男子，副官简直是佛爷的迷弟，阿四是个中二青年，尹新月是佛爷的头号迷妹，片头曲也好热血好燃啊。唯一不满意的一点就是剧情有点拖沓了，总体来说还是不错的，画面很好看，颜值也都很高，画质也很精良，是部好剧。,10,好看,Yvonne___Zhou
"没有看过原著，好奇看了下，还不错。
佛爷，哈哈哈，行走的荷尔蒙，新月很可爱，
二爷，好深情的说，愿得一心人，白首不相离，可惜丫头还是走了。。。
八爷，纯逗逼，妥妥的小受一枚。。。
九爷嘛，睿智。。。。
会追下去的啦。。。。。空了会再去看看原著
必须要140字这个也是醉了。。。。。发个评论坐等凑字数。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。",10,支持下吧,183****7157_m1813
。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。,2,失望失望太失望。,爱摔跤的叱利隽洁
我只投六分是因为小绵羊的声音根本不是他原来的声音，我也知道这二爷角色的声音应该是这声可是我还是比较喜欢小绵羊原来的声音，所以才投六分。我也很喜欢这部剧，可我还是希望小绵羊的声音是原来的声音，当然所有的剧情是非常精彩的演员的演技也是可圈可点的，我也会继续追剧认真观看。最后我评价一下二月红和佛爷的演技，张艺兴虽然是新人演技也不是非常好可也完美的演绎了二月红的主要情感和思想理念，而且他非常的努力。陈伟霆也表达了大佛爷的霸气武功高强，推理能力很强高冷但也不失风趣。,6,二月红的声音,BCE6DCBB5732761E
真的没啥意思，不敢拍盗墓就别说根据盗墓笔记改编的，怎么不叫抗日传奇之类的名字标题狗，8集了就下了个矿洞遇见了群蝴蝶还被秒杀了，还头发连个禁婆都没有好意思吗？要不是有陈伟霆赵丽颖给三分都嫌多，还不如把牛头交给国家的好至少他下墓了，哎烂片还不如看小说呢，浪费时间，还不少于140字，是让我多踩两下这部烂片吗,2,电视剧不如小说,老虎插上了翅膀
"其实说实话，当初不是为了谁演谁去看的，而是为了《老九门》去看的。
因为我是个彻彻底底的稻米，盗墓笔记第一季已经让我够失望的了，我实在是不希望盗墓这一个系列都彻底烂下去。
说实话电视剧和小说的出入很大，但是演员演的十分卖力。
先说说张大佛爷，对于张大佛爷来说，给我的印象就是高冷重情义，陈伟霆看上去十分精神，演的也很不错，是我理想中的大佛爷，但是应该再霸气一点。
对于二月红，一开始我觉得张艺兴演二月红很不合适，但是之后我发现完全不用担心，配音这一点来说，我就觉得通过了，但是我怎么也没听出来那配音是狐妖中的白月初，而佛爷的配音则是梵云飞。
齐铁嘴的声音是杰哥，我也很满意，我同样没想到新月小姐的配音是蓉老板，丫头的配音是苏苏。
对于尹新月来说，我觉得赵丽颖非常适合这个角色，机灵古怪又不失可爱，还有一些大小姐脾气，满满的都是萌点！
",10,请理智地看待原著与演员,诗书墨痕_bd1066
从佛爷说起，演技自不用说，把张大佛爷那果决和冷幽默的性格塑造的堪称完美。二月红，有很多人说他演技不够好，但我觉得还不错。他一定是认真体会了二爷这个角色的，走心了。然后是八爷，也是一个鲜明的形象。有点胆小，活泼，有时会耍些小聪明，口是心非这一点特别可爱，很真实。最后还有一个可圈可点的人物------陈皮阿四。一个拥有双面形象的人物，能演绎得如此自然真是十分不易，使陈皮这个人物有了立体感。新月小姐出场时惊了一下，原著里是没有的。不过新月小姐的活泼灵动还是很到位，只是原著党还需要一定时间接受。总体来说是一部很用心的片子。,10,他们跟盗墓笔记一样,2362128851
"  个人觉得陈伟庭把张佛爷那种不惧一切演得可圈可点，个性演得真的是没话说；最喜欢的就是他的洒脱干脆一点不啰嗦。很期待后面的表演。
  不过这种48集的电视，难免是以讲感情为主的，个人觉得故事情节略显哆嗦；还有特效与一些恐怖画面真的是需要完善的，下到墓地那一集真心是好期待里面的场景，结果真心有点失望。总之个人认为各们的表演都还是很不错的。古事情节也蛮喜欢。继续追吧~",8,喜欢张大佛爷,150****2095_m1816
从佛爷说起，演技自不用说，把张大佛爷那果决和冷幽默的性格塑造的堪称完美。二月红，有很多人说他演技不够好，但我觉得还不错。他一定是认真体会了二爷这个角色的，走心了。然后是八爷，也是一个鲜明的形象。有点胆小，活泼，有时会耍些小聪明，口是心非这一点特别可爱，很真实。最后还有一个可圈可点的人物------陈皮阿四。一个拥有双面形象的人物，能演绎得如此自然真是十分不易，使陈皮这个人物有了立体感。新月小姐出场时惊了一下，原著里是没有的。不过新月小姐的活泼灵动还是很到位，只是原著党还需要一定时间接受。总体来说是一部很用心的片子。,10,很好看,小打小闹_3628
除了丽颖没什么好看的！！！！！！!!1！！！！！！！！！！！1！！！！！！！！！1111!!!!!!!!!!！！！！！！！！！111！！11!11111！11111!1！11!1!1111111！1!11!!!111！1！！11！1！！！！！！！！！111！11111！111！！！1！！！！！！11！1！111111111111111111!!11111!!1!!!!111111!11!11!!1111111111111111111111111111111111111111111111!!!!!!1111111!!!!!!!1!!!111!!!!!1111!!!,4,丽颖丽颖丽颖丽颖丽颖11！！！！！！！！！111！11！！！！！！,羊角浦泽
从佛爷说起，演技自不用说，把张大佛爷那果决和冷幽默的性格塑造的堪称完美。二月红，有很多人说他演技不够好，但我觉得还不错。他一定是认真体会了二爷这个角色的，走心了。然后是八爷，也是一个鲜明的形象。有点胆小，活泼，有时会耍些小聪明，口是心非这一点特别可爱，很真实。最后还有一个可圈可点的人物------陈皮阿四。一个拥有双面形象的人物，能演绎得如此自然真是十分不易，使陈皮这个人物有了立体感。新月小姐出场时惊了一下，原著里是没有的。不过新月小姐的活泼灵动还是很到位，只是原著党还需要一定时间接受。总体来说是一部很用心的片子。,8,老九门那些事,子夜天狼123
这部剧蛮好的！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！为什么都不喜欢呢？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？,10,很好啊,五彩光芒_qq1393
一部电视剧融合盗墓，抗日等多元素，十分的吸引人，而演员们也是十分的鲜肉，型男，还有我家的羊太帅了，爱他不要不要的，这部剧棒的简直无法用言语形容.................................................................................................................................................,10,好看,爱吃香蕉の成公清绮
浪费纳税人的钱，sdkflkasjdjsdklajfklsajdklflksdghjhsdkjhgoiewhoirweriwourivmzbvmxbcvmnxbvkjsdfhjkhsdfoiweueoirweioyfiowiodhalkfhsjkdhflksdhoiewurpweurioweufhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhffffffffffffffffffffffffffffffffffffffffffffffffffffff,2,好戏，好演员,布帆_qq1524
智商有限看不懂这电视剧怎么拍的！！浪费题材，呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵额呵呵呵呵呵呵呵呵，140字够了没有abdsjkjfdhf fdshdfklhsdlkflksdhfklhsdklhfshiorewooijeflksdkncksdflksdlkfslkdhfjksdhlkfhweoihiowehfhdslkfhlkdshfklhslkdfhlksdhflkdshfkldhslkfhlksdhflkshdklfheoiuriwe,2,什么东东,布帆_qq1524
那些说艺兴演技不好的，你的意思，你比导演厉害，导演瞎！艺兴和鹿晗本来就是好兄弟，韩国练习生就一直住一起，你们能不能两家粉丝别对骂呢，还有好像不管什么电视，里面的演员都有人不喜欢，就不能好好的看电视啦，实在不行，在你不喜欢的人出现时，快进一下不久好了嘛，演员也是人啊！别人说你你会心情好嘛！兴兴赞,10,兴兴赞,183****6515_m1653
真的很烂.............................很好的小说被拍成这样.............................................................................................................................................................................................................................................,2,烂片,h0000t1
好看，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，,10,\(^o^)/~O(∩_∩)O~,谭宏升
其实本来的我，只是来看张艺兴的，但后来觉得还是挺好的，我不是不希望别人评论而是我觉得虽然每个人都有每个人的想法与理解但我真的觉得有想法可以保留你说出来即使会让他演得更好，但每个人的心里承受能力都不同...所以....每一个人都很有特点，二爷喜爱唱戏虽然声音是配音但能想象出他的样子，他很疼爱丫头。（即使丫头只会下面条但爱并不减）陈皮心眼蛮多的，不过长得还不错，对师娘的心思都能看出来。张启山冷峻的外表话语偶尔有些小幽默！八爷很胆小但是也很负责任！张副官更不用说了！,10,老九门,贤说星里有晗
"不带粉丝眼镜，张艺兴这是的二次演电视剧了，相比于《好先生》奋进固执的小蔡，二月红真心赞，演技真的进步的不是一点点，眼神里全是戏，支持二爷
陈伟霆的演技也是，明明可以靠脸吃饭却要靠演技，帅呆我
陈皮什么的让我好心塞
至于丫头，煮面这梗也是哈哈哈233333
八爷好搞笑，话唠设定的好搞笑
没看过原著，但真心喜欢
支持老九门",10,进步,火山狍子
拍成这样不错了，别忘了国家可是禁止盗墓，你要真按原著，谁敢演，谁敢拍，小说是小说，电视剧是电视剧，原著党们冷静点吧，真觉得实在接受不了，可以转台，我也是原著追完的，真心觉得比盗墓笔记电视剧好多了，毕竟他们年纪都不大，演技是慢慢磨练的，真要一群大叔演，你们会看吗，估计吐槽更严重了，给他们点时间，以后会更好的,10,很好很不错,139****0989_m1059
张艺兴脸部在多点表情吧，脸部一点表情都没有整的跟僵尸脸一样。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。,2,僵尸脸,公平の羊舌俊捷
.....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................,2,..,185****1651_m1047
"可能最开始以为跟盗墓笔记电视剧一个水平，所以老九门正片出来我已经很满足了！！！！
已经超出我的期待值很多了！调色不错，演员也选的很好。最重要的是颜值高啊，盆友们！！颜狗的狂欢！！！
底下有些评论我觉得还是过于苛刻了。首先这是一部电视剧，肯定不能和电影那样做的那么精致，很多细节确实过于夸张，还有些搞笑2333但是总体上不错哒！
",10,为了小艺兴我也要打十分！,戳戳张蛋蛋的小酒窝
好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看好看,10,好看,华丽的转身良人醉
勉强看了第一集，好尴尬。演员演技太渣好么，不要以为整天一张面瘫脸就是佛爷了好吗，二月红整天下面下面的有完没完！二月红真的好渣，完全是给nc粉看的，满屏幕小鲜肉耍帅，垃圾剧!!!还圈钱，辣鸡。两分给片尾曲。还不如盗墓笔记好看，好歹盗笔颜值比老九门高，再不济也能看脸，老九门实在看不下去。看到周围的人都在说老九门怎样怎样好，佛爷怎样怎样帅，我都好方啊woc,2,尴尬,陈青山么么哒
就是 更新太慢 一个礼拜4集  总共48级 能播半年去！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！,10,挺好,188****2707_m1540
这八爷是走后门才能演的角色吧？题材挺好，让导演和编剧拍的跟便便一样，演员的演技真的很烂很烂.都不知道怎么形容了.剧情拖拉的跟便秘一样，白瞎剧本了.一句话说好几回，一点事演半天，最恶心的就是演八爷的，演技浮夸道不行，你特码在演戏呢，能走点心不，别跟闹着玩一样，看了几集，我都换衣这是不是盗墓的电视剧了.,2,这部剧很烂,超级幕末清风
前期太拖沓，后面太虚幻，说好的盗墓，但是没发现有多少盗墓的内容，不过特效还不错，还不是那么难以接受，赵丽颖他们演的还不错，就是觉得不应该那么的单纯，如果有小说里面那么聪明就好了，还有不能接受她一直倒追张启山，虽然后面张启山也喜欢她了，但在那个年代，一个女孩子就追男人，也太惊世骇俗了吧。二爷到是很痴情，可是陈皮为什么会喜欢上自己的师娘呢，这个是我不能接受的，师娘应该比他、打多少啊，恋母情结吗？,8,老九门,爱喝红酒の公坚静秀
